id,code,week,material,sec
29,SP,Week 02,discussion,replies
29,SP,Week 02,discussion,replies
29,CP,Week 02,discussion,replies
29,SP,Week 02,discussion,replies
29,SP,Week 02,discussion,replies
30,SP,Week 02,discussion,replies
30,SP,Week 02,discussion,replies
30,SP,Week 02,discussion,replies
30,SP,Week 02,discussion,replies
30,CP,Week 02,discussion,replies
30,TP,Week 02,discussion,replies
30,SP,Week 02,discussion,replies
31,SP,Week 02,discussion,replies
31,SP,Week 02,discussion,replies
31,SP,Week 02,discussion,replies
31,SP,Week 02,discussion,replies
31,CP,Week 02,discussion,replies
